match,team,player,shirt_number,position,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,totalCross,duelWon,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,aerialWon,duelLost,shotOffTarget,blockedScoringAttempt,totalClearance,fouls,keyPass,aerialLost,totalContest,goals,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,wonContest,hitWoodwork,challengeLost,dispossessed,bigChanceCreated,bigChanceMissed,totalOffside,punches,outfielderBlock,clearanceOffLine,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,lastManTackle,ownGoals,crossNotClaimed,penaltyFaced,penaltyConceded,penaltyWon,penaltyMiss,penaltySave
13981585,Juventus,Pierre Kalulu,15,D,True,59,47,2,0,0,16,24,31,35,10,0,0,0,90,74,8,14,0,0,1,0,0,0,0,0,2,6,1,1,4,3,0,0,0,1,2,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,281,25,146,28,118,5,0,0,0,0,0,0,0,0
13981585,Juventus,Bremer,3,D,True,42,37,5,2,0,26,29,11,13,1,0,0,0,90,55,6,7,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,5,5,0,0,6,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,141,20,22,18,0,0,0,0,0,0,0,0,0,0
13981585,Juventus,Lloyd Kelly,6,D,True,57,49,5,3,0,25,27,24,30,4,0,0,0,90,75,7,10,0,0,1,0,0,0,0,0,1,9,0,0,1,1,0,0,0,8,7,1,0,6,3,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,211,24,137,27,46,2,0,0,0,0,0,0,0,0
13981585,Juventus,Andrea Cambiaso,27,M,True,52,46,5,4,0,15,19,31,33,2,0,0,0,86,72,6,15,0,0,1,0,0,0,0,0,5,2,0,0,1,1,0,0,0,0,3,1,0,0,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,26,25,15,49,3,0,0,0,0,0,0,0,0
13981585,Juventus,Manuel Locatelli,5,M,True,70,63,12,6,0,21,22,42,48,3,0,0,0,60,88,7,9,0,0,1,0,0,0,0,0,0,3,1,1,2,2,0,0,0,0,4,0,0,4,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,144,18,77,17,0,0,0,0,0,0,0,0,0,0
13981585,Juventus,Khéphren Thuram,19,M,True,60,45,2,1,0,19,24,26,36,7,0,0,0,90,75,6,17,0,0,2,0,0,0,0,0,2,3,0,1,1,1,0,0,0,2,5,1,1,1,0,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,322,31,180,27,108,5,0,0,0,0,0,0,0,0
13981585,Juventus,Weston McKennie,22,M,True,35,26,1,0,0,12,13,14,22,2,0,0,0,90,70,6,19,0,0,1,0,0,0,0,0,1,8,1,0,5,3,0,0,0,2,6,0,0,4,2,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,15,40,22,32,1,0,0,0,0,0,0,0,0
13981585,Juventus,Teun Koopmeiners,8,F,True,30,24,2,1,0,8,9,16,21,2,0,0,0,86,42,6,10,0,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,93,7,63,31,33,1,0,0,0,0,0,0,0,0
13981585,Juventus,Kenan Yıldız,10,F,True,37,36,4,4,0,8,8,28,29,6,0,0,0,89,58,8,8,0,0,3,0,0,0,0,0,3,7,1,0,1,0,0,0,0,1,4,1,1,0,0,1,2,4,1,0,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,211,22,120,29,92,5,0,0,0,0,0,0,0,0
13981585,Juventus,Loïs Openda,20,F,True,8,5,0,0,0,0,0,5,8,1,0,0,0,60,14,6,4,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,3,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,4,26,14,0,0,0,0,0,0,0,0,0,0
