match,team,home_away,ballPossession,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,bigChanceMissed,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,goalsPrevented,diveSaves,highClaims,punches,goalKicks,errorsLeadToGoal,accurateThroughBall,redCards,penaltySaves
13981530,Genoa,Home,41,1,3,10,1,3,20,281,9,14,2,6,0,3,1,9,1,1,2,18,5,0,214,24,44,53,19,8,40,6,23,21,3,6,8,31,28,0,0,1,1,1,5,1,0,0,0
13981530,Fiorentina,Away,59,1,3,7,4,7,15,418,17,19,3,3,0,2,2,5,2,2,1,12,1,0,343,14,46,45,26,2,60,5,42,25,6,10,5,25,28,0,0,1,0,0,5,0,1,0,1
13981521,Atalanta,Home,68,0,0,14,1,4,9,654,14,8,0,2,0,7,5,7,7,0,0,30,2,2,582,25,74,128,31,3,53,7,32,10,11,10,2,44,3,0,0,0,0,0,10,0,0,0,0
13981521,Sassuolo,Away,32,1,3,8,1,1,8,323,16,8,2,4,0,3,1,6,2,2,1,15,1,2,247,20,38,36,19,1,47,3,29,9,4,11,8,47,27,0,0,0,2,0,14,0,1,0,0
13981519,Bologna,Home,41,0,3,11,1,5,14,370,14,15,1,4,0,4,3,6,5,2,1,14,4,0,297,13,54,76,24,5,59,7,32,16,3,7,7,47,17,0,0,0,2,0,1,0,0,0,0
13981519,Napoli,Away,59,0,0,4,2,4,15,551,9,14,3,1,1,1,2,1,3,0,0,13,5,0,467,21,48,79,29,1,41,7,24,10,3,6,4,40,14,0,0,1,0,0,7,0,0,0,0
13981527,Inter,Home,54,1,3,8,5,3,26,559,14,11,3,3,0,4,1,7,1,1,2,23,2,2,489,19,47,109,33,3,49,1,30,9,5,6,4,45,11,0,0,0,0,0,3,0,0,0,0
13981527,Lazio,Away,46,0,2,8,1,1,11,494,5,26,1,5,1,3,0,3,5,0,2,5,3,0,425,5,45,93,35,1,51,7,29,11,2,1,9,39,20,1,0,0,0,0,9,1,1,0,0
13981538,Inter,Home,64,1,2,20,2,9,7,624,12,8,1,6,2,8,6,12,8,0,2,47,2,2,563,21,53,182,25,9,57,4,26,15,7,6,5,44,19,0,0,0,0,1,4,0,0,0,0
13981538,Milan,Away,36,1,1,7,6,1,9,361,13,7,2,3,0,4,0,4,3,1,0,16,0,3,301,11,34,56,19,0,43,7,21,10,3,7,7,40,44,1,2,0,2,0,10,0,0,0,1
13981541,Cremonese,Home,50,0,3,9,3,3,12,430,16,16,2,4,1,2,3,5,4,1,2,15,1,3,342,22,49,69,23,2,59,4,36,18,5,5,9,43,26,0,-1,1,2,0,8,1,2,0,0
13981541,Roma,Away,50,1,3,12,3,5,16,434,9,12,2,6,0,3,3,6,6,2,1,31,1,2,348,19,45,109,15,1,41,6,26,12,5,5,6,48,21,0,0,1,1,0,4,0,2,0,0
13981533,Napoli,Home,45,1,3,11,2,5,11,436,10,12,1,6,0,3,2,8,3,2,1,15,2,3,355,16,45,59,19,1,45,10,25,13,4,6,9,52,15,0,0,1,0,0,15,0,0,0,0
13981533,Atalanta,Away,55,0,1,14,3,3,12,533,20,11,2,3,0,9,2,6,8,1,0,19,3,1,452,18,47,115,33,5,55,8,35,11,6,12,6,53,17,0,-1,0,0,1,3,0,0,0,0
13981532,Hellas Verona,Home,59,0,1,10,5,4,24,467,24,6,4,2,0,3,5,5,5,1,0,20,1,5,377,22,64,99,12,3,43,8,38,17,8,16,10,52,23,1,-1,0,1,0,7,1,0,0,0
13981532,Parma,Away,41,1,4,15,1,4,6,332,21,24,3,7,1,3,5,7,8,2,2,17,4,1,243,14,49,46,27,4,57,16,53,19,11,11,8,54,30,0,0,0,1,1,6,1,1,0,0
13981536,Sassuolo,Home,63,1,4,22,1,5,10,510,17,10,2,7,0,10,5,14,8,1,3,34,2,1,443,19,71,157,24,9,58,7,34,18,7,9,3,51,19,0,0,1,0,0,4,0,0,0,0
13981536,Pisa,Away,37,1,1,10,5,2,10,307,11,9,1,3,0,5,2,10,0,1,0,25,4,2,234,10,32,29,32,6,42,6,22,15,2,4,7,48,32,1,0,0,0,0,17,0,0,0,0
13981537,Lazio,Home,67,1,2,19,2,8,8,711,8,13,1,9,2,6,4,11,8,1,1,34,1,0,642,23,65,112,29,2,52,10,28,13,7,5,15,60,15,0,0,0,0,0,2,0,1,0,0
13981537,Lecce,Away,33,0,1,5,7,2,13,342,15,8,1,1,0,1,3,2,3,0,1,5,1,2,265,21,35,44,25,3,48,5,28,10,5,5,7,43,27,3,1,1,1,1,11,0,0,0,0
13981535,Torino,Home,35,1,2,10,1,3,6,289,15,8,0,2,0,7,1,7,3,1,1,20,1,3,230,17,37,55,20,5,45,16,26,13,3,11,15,39,21,1,-2,0,1,0,8,3,2,0,0
13981535,Como,Away,65,2,7,15,1,4,9,555,22,6,1,7,0,5,3,13,2,3,4,35,0,0,486,22,54,94,33,3,55,4,37,10,9,11,9,41,22,0,0,0,2,0,11,0,1,0,0
13981539,Fiorentina,Home,41,0,0,11,3,7,11,342,6,18,3,2,1,6,3,6,5,0,0,17,4,0,291,12,45,56,31,3,49,7,28,11,4,3,11,39,23,1,0,0,0,0,6,0,0,0,0
13981539,Juventus,Away,59,1,2,17,1,3,18,507,17,11,3,4,0,4,9,10,7,0,2,30,2,0,446,12,49,124,35,3,51,3,32,8,5,10,6,42,27,0,0,1,1,0,5,0,0,0,0
13981542,Cagliari,Home,50,0,2,11,4,6,22,343,22,16,4,5,0,4,2,8,3,2,0,18,2,0,255,22,53,59,18,10,46,6,39,12,4,10,6,42,9,0,0,1,1,0,7,1,0,0,0
13981542,Genoa,Away,50,1,3,13,2,2,16,363,15,22,3,8,0,4,1,10,3,1,2,20,4,4,305,18,45,50,22,5,54,10,45,14,10,12,3,46,39,0,0,0,0,0,4,0,0,1,0
13981534,Udinese,Home,47,1,4,12,2,7,19,303,20,16,0,3,0,7,2,7,5,0,4,26,5,2,225,23,46,56,27,4,51,11,43,16,8,13,10,43,20,0,0,2,0,0,8,2,0,0,1
13981534,Bologna,Away,53,2,4,10,3,2,16,346,15,18,1,5,0,4,1,8,2,2,2,18,3,3,258,16,51,57,35,1,49,10,43,14,11,12,8,47,31,1,0,1,0,1,7,0,0,0,0
13981545,Milan,Home,46,1,1,16,4,1,10,493,17,12,3,4,0,5,7,11,5,1,0,23,3,1,437,22,49,88,21,5,53,6,30,10,1,9,10,45,23,1,1,1,1,0,4,0,0,0,0
13981545,Lazio,Away,54,0,3,9,3,4,12,569,12,10,4,4,1,4,1,5,4,0,3,16,3,2,498,14,49,96,25,4,47,5,27,8,5,9,10,51,10,0,0,1,0,0,7,0,0,0,0
13981549,Atalanta,Home,48,1,3,21,3,4,15,431,14,10,1,9,0,6,6,14,7,1,2,43,4,2,365,14,55,104,24,8,52,6,30,16,6,6,8,52,19,1,0,1,0,0,6,0,2,0,0
13981549,Fiorentina,Away,52,1,3,15,7,5,10,466,12,15,3,3,1,8,4,13,2,0,3,20,3,1,387,20,56,54,34,6,48,6,34,9,8,6,8,49,14,1,0,2,0,0,8,0,2,0,0
13981540,Roma,Home,56,0,1,8,5,4,14,546,14,13,4,2,0,5,1,5,3,0,1,13,0,0,449,24,59,100,29,2,45,12,29,16,2,10,6,58,15,0,0,1,0,0,2,0,1,0,0
13981540,Napoli,Away,44,1,3,7,2,2,13,434,21,14,3,5,0,2,0,3,4,1,2,12,0,4,343,20,53,56,20,3,55,8,42,12,8,12,9,55,29,0,0,0,0,0,8,0,2,0,0
13981550,Bologna,Home,65,2,3,29,2,13,13,468,15,11,0,7,1,14,8,20,9,1,2,57,5,4,386,22,69,119,37,10,59,5,34,27,8,8,9,53,21,0,0,0,1,0,2,2,1,0,0
13981550,Cremonese,Away,35,2,4,10,7,8,12,250,14,13,2,5,1,2,3,7,3,3,1,16,1,3,150,22,48,22,16,4,41,8,32,11,6,7,11,45,49,1,0,1,0,0,11,0,1,0,0
