match,team,player,shirt_number,position,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,totalCross,duelWon,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,aerialWon,duelLost,shotOffTarget,blockedScoringAttempt,totalClearance,fouls,keyPass,aerialLost,totalContest,goals,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,wonContest,hitWoodwork,challengeLost,dispossessed,bigChanceCreated,bigChanceMissed,totalOffside,punches,outfielderBlock,clearanceOffLine,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,lastManTackle,ownGoals,crossNotClaimed,penaltyFaced,penaltyConceded,penaltyWon,penaltyMiss,penaltySave
13981431,Napoli,Frank Anguissa,99,M,True,66.0,62.0,2.0,2.0,0.0,26.0,28.0,36.0,38.0,6.0,,,,90.0,84.0,7.3,12.0,0.0211013,,1,,0.18,0.35,0.19,,1.0,7.0,,,,,0.1242,,-0.51,3.0,4.0,1.0,,1.0,2.0,,,3.0,,,4.0,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Kevin De Bruyne,11,M,True,59.0,51.0,4.0,3.0,0.0,33.0,35.0,18.0,24.0,5.0,,,,90.0,67.0,7.8,9.0,0.337377,,3,,0.12,0.22,-0.05,,,,1.0,1.0,,,0.1881,0.327,0.56,,2.0,1.0,1.0,,,3.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Scott McTominay,8,M,True,30.0,27.0,1.0,1.0,0.0,11.0,12.0,16.0,18.0,7.0,,,,89.0,49.0,7.9,10.0,0.0842416,,3,,0.05,0.05,-0.1,,,8.0,2.0,,1.0,1.0,0.2175,0.627,0.5,,7.0,1.0,,,,1.0,,3.0,1.0,,2.0,6.0,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Lorenzo Lucca,27,F,True,17.0,15.0,,,0.0,8.0,9.0,7.0,8.0,4.0,,,,82.0,32.0,6.8,6.0,0.0158721,,2,,-0.42,-0.54,-0.06,,,8.0,1.0,,,,0.3432,0.2871,0.32,3.0,8.0,,1.0,,5.0,,1.0,3.0,,,1.0,3.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,David Neres,7,F,False,6.0,6.0,,,0.0,1.0,1.0,5.0,5.0,,,,,14.0,8.0,6.2,2.0,0.0130115,,0,,0.04,-0.34,0.13,,,,,,,,,,,,4.0,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Billy Gilmour,6,M,False,18.0,16.0,2.0,1.0,0.0,4.0,4.0,12.0,14.0,,,,,9.0,18.0,6.7,2.0,0.00826432,,0,,0.09,0.08,-0.04,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Noa Lang,70,F,False,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,,,,,8.0,5.0,6.4,1.0,0.00109146,,0,,-0.1,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Leonardo Spinazzola,37,D,False,8.0,8.0,,,0.0,4.0,4.0,4.0,4.0,,,,,1.0,8.0,,,0.0218849,,0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Antonio Vergara,26,M,False,2.0,2.0,,,0.0,2.0,2.0,,,,,,,1.0,2.0,,,1.986e-05,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Nikita Contini,14,G,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Vanja Milinković-Savić,32,G,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Luca Marianucci,35,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Sam Beukema,31,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Alessandro Buongiorno,4,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Pasquale Mazzocchi,30,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Alessandro Zanoli,59,D,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Luis Hasa,29,M,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Giuseppe Ambrosino,69,F,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,Napoli,Walid Cheddira,77,F,False,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Nicola Leali,1,G,True,33.0,14.0,20.0,2.0,0.0,13.0,18.0,1.0,15.0,8.0,1.0,,,90.0,40.0,6.2,19.0,0.00022094,,0,,-0.06,0.01,0.15,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
13981422,Genoa,Brooke Norton-Cuffy,15,D,True,40.0,31.0,4.0,2.0,0.0,23.0,25.0,8.0,15.0,,,,,90.0,61.0,7.2,11.0,0.00218348,,0,,-0.01,0.01,0.25,,,6.0,,1.0,4.0,1.0,,,,2.0,2.0,,,4.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Alessandro Marcandalli,27,D,True,43.0,38.0,1.0,,0.0,37.0,39.0,1.0,4.0,5.0,,,,90.0,49.0,6.7,6.0,0.00088123,,0,,-0.03,0.02,0.0,,,,,1.0,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Johan Vásquez,22,D,True,78.0,67.0,7.0,1.0,0.0,57.0,63.0,10.0,15.0,5.0,,,,90.0,90.0,7.1,12.0,0.00302452,,0,,-0.03,0.14,0.36,,,5.0,,,1.0,,,,,3.0,3.0,,,6.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13981422,Genoa,Aarón Martín,3,D,True,49.0,43.0,6.0,3.0,0.0,29.0,32.0,14.0,17.0,3.0,,,,90.0,64.0,6.9,11.0,0.0121818,,1,,0.16,0.08,0.15,,2.0,3.0,1.0,,2.0,2.0,0.0306,0.0451,-0.12,,2.0,,,1.0,2.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Patrizio Masini,73,M,True,45.0,32.0,6.0,2.0,0.0,24.0,29.0,8.0,16.0,9.0,,,,90.0,68.0,7.4,16.0,0.00824931,,0,,0.1,-0.03,0.31,,,13.0,,1.0,6.0,3.0,,,,3.0,7.0,,,3.0,2.0,,4.0,,,,1.0,4.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
